run_id,table_type,table_m,hash_name,data_n,phase,metric,value
20,chaining,20000027,mix,100000,structure,chain_top2,2
20,chaining,20000027,mix,100000,structure,chain_top3,2
20,chaining,20000027,mix,100000,gaps,min,0
20,chaining,20000027,mix,100000,gaps,avg,199.50058648380403
20,chaining,20000027,mix,100000,gaps,max,2157
20,chaining,20000027,mix,1000000,insert,time_ns,69176800
20,chaining,20000027,mix,1000000,insert,collisions,25455
20,chaining,20000027,mix,1000000,insert,memory_bytes,92274736
20,chaining,20000027,mix,1000000,search,time_ns,52419400
20,chaining,20000027,mix,1000000,structure,chain_top1,4
20,chaining,20000027,mix,1000000,structure,chain_top2,3
20,chaining,20000027,mix,1000000,structure,chain_top3,3
20,chaining,20000027,mix,1000000,gaps,min,0
20,chaining,20000027,mix,1000000,gaps,avg,19.513079135332948
20,chaining,20000027,mix,1000000,gaps,max,284
20,chaining,20000027,mix,10000000,insert,time_ns,671016400
20,chaining,20000027,mix,10000000,insert,collisions,2533599
20,chaining,20000027,mix,10000000,insert,memory_bytes,167772208
20,chaining,20000027,mix,10000000,search,time_ns,618907500
20,chaining,20000027,mix,10000000,structure,chain_top1,8
20,chaining,20000027,mix,10000000,structure,chain_top2,7
20,chaining,20000027,mix,10000000,structure,chain_top3,7
20,chaining,20000027,mix,10000000,gaps,min,0
20,chaining,20000027,mix,10000000,gaps,avg,1.5480913418257713
20,chaining,20000027,mix,10000000,gaps,max,31
21,linear,20000027,mod,100000,insert,time_ns,11680400
21,linear,20000027,mod,100000,insert,collisions,234
21,linear,20000027,mod,100000,insert,memory_bytes,104857640
21,linear,20000027,mod,100000,search,time_ns,2426200
21,linear,20000027,mod,100000,gaps,min,0
21,linear,20000027,mod,100000,gaps,avg,199.00027
21,linear,20000027,mod,100000,gaps,max,2469
21,linear,20000027,mod,1000000,insert,time_ns,60650500
21,linear,20000027,mod,1000000,insert,collisions,26455
21,linear,20000027,mod,1000000,insert,memory_bytes,104857640
21,linear,20000027,mod,1000000,search,time_ns,28334500
21,linear,20000027,mod,1000000,gaps,min,0
21,linear,20000027,mod,1000000,gaps,avg,19.000027
21,linear,20000027,mod,1000000,gaps,max,297
21,linear,20000027,mod,10000000,insert,time_ns,635704800
21,linear,20000027,mod,10000000,insert,collisions,4995786
21,linear,20000027,mod,10000000,insert,memory_bytes,104857640
21,linear,20000027,mod,10000000,search,time_ns,341180900
21,linear,20000027,mod,10000000,gaps,min,0
21,linear,20000027,mod,10000000,gaps,avg,1.0000027
21,linear,20000027,mod,10000000,gaps,max,31
22,linear,20000027,mul,100000,insert,time_ns,29470200
22,linear,20000027,mul,100000,insert,collisions,278
22,linear,20000027,mul,100000,insert,memory_bytes,104857640
22,linear,20000027,mul,100000,search,time_ns,27046800
22,linear,20000027,mul,100000,gaps,min,0
22,linear,20000027,mul,100000,gaps,avg,199.00027
22,linear,20000027,mul,100000,gaps,max,2293
22,linear,20000027,mul,1000000,insert,time_ns,209967300
22,linear,20000027,mul,1000000,insert,collisions,28937
22,linear,20000027,mul,1000000,insert,memory_bytes,104857640
22,linear,20000027,mul,1000000,search,time_ns,206844700
22,linear,20000027,mul,1000000,gaps,min,0
22,linear,20000027,mul,1000000,gaps,avg,19.000027
22,linear,20000027,mul,1000000,gaps,max,338
22,linear,20000027,mul,10000000,insert,time_ns,2154154200
22,linear,20000027,mul,10000000,insert,collisions,5304797
22,linear,20000027,mul,10000000,insert,memory_bytes,104857640
22,linear,20000027,mul,10000000,search,time_ns,2089965800
22,linear,20000027,mul,10000000,gaps,min,0
22,linear,20000027,mul,10000000,gaps,avg,1.0000027
22,linear,20000027,mul,10000000,gaps,max,34
23,linear,20000027,mix,100000,insert,time_ns,10288200
23,linear,20000027,mix,100000,insert,collisions,253
23,linear,20000027,mix,100000,insert,memory_bytes,104857640
23,linear,20000027,mix,100000,search,time_ns,6886800
23,linear,20000027,mix,100000,gaps,min,0
23,linear,20000027,mix,100000,gaps,avg,199.00027
23,linear,20000027,mix,100000,gaps,max,2157
23,linear,20000027,mix,1000000,insert,time_ns,61112500
23,linear,20000027,mix,1000000,insert,collisions,26741
23,linear,20000027,mix,1000000,insert,memory_bytes,104857640
23,linear,20000027,mix,1000000,search,time_ns,50229700
23,linear,20000027,mix,1000000,gaps,min,0
23,linear,20000027,mix,1000000,gaps,avg,19.000027
